code,city,country,lat,lon
YOK,YOKOHAMA,JAPAN,35.44,139.64
BKK,BANGKOK,THAILAND,13.75,100.48
DEL,DELHI,INDIA,29.01,77.38
SIN,SINGAPORE,SINGAPOR,1.36,103.75
HON,HONKON,CHINA,22.40,114.11
SOU,SOUL,KOREA,37.57,126.98
TAI,TAIPEI,TAIWAN,25.09,121.35
BEI,BEIJING,CHINA,39.90,116.27
SHA,SHANHAI,CHINA,30.85,121.40
MAN,MANIRA,FIRIPIN,14.60,120.98
MUN,MUNBAI,INDO,19.08,72.88
CUA,CUARARUNPURU,MARECIA,3.14,101.69
HOU,HOUTIMIN,BETONAMU,10.82,106.63
SHI,SHINSEN,CHINA,22.54,114.03
BOU,BOUKAN,CHINA,30.46,113.11
JAK,JAKARUTA,INDONESIA,-6.21,106.85
BAN,BANGARORU,INDO,12.97,77.59
DAK,DAKKA,BANGURADEISYU,23.71,90.41
CHE,CHENNAI,INDO,13.06,80.25
KOU,KOUSYU,CHINA,23.23,113.72
HAN,HANOI,BETONAMU,21.03,105.85